gene_symbol,uniprotkb_ac,test_disease_use,test_trade_name,test_manufacturer,test_submission,test_is_a_panel,biomarker_id,biomarker_origin,ncit_biomarker,do_name,doid,histological_type,approved_indication,actual_use,specimen_type,platform_method,test_number_genes,test_adoption_evidence,test_trial_id,test_approval_status,pmid,test_study_design,clinical_significance,biomarker_drug,biomarker_description
Erbb2,P04626,Breast Cancer,DAKO HERCEPTEST,Dako Denmark A/S,P980018,N,227,amplification,Erb-b2 Receptor Tyrosine Kinase 2 Gene_ ERBB2_ ERBB2 gene_ HER2_ HER2/Neu_ Neu,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),companion diagnosis,predictive,Paraffin block,I,1,clinical use,,PMA withdrawn,10561248,RetObs,amplified HER2 indicates a candidate for trastuzumab or pertuzumab treatment,3062316_ 644241_ 5484725_ 208908_ 50067185 (SID)_ 178103510 (SID),gene transcribing for RTK that is found to be overexpressed or mutated in breast cancer
Erbb2,P04626,Breast Cancer,PATH VYSION HER-2 DNA PROBE KIT,Abbott Molecular Inc.,P980024,N,227,amplification,Erb-b2 Receptor Tyrosine Kinase 2 Gene_ ERBB2_ ERBB2 gene_ HER2_ HER2/Neu_ Neu,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis_ companion diagnosis,prognostic_ predictive,Paraffin block,F,1,clinical use,NCT01066507,PMA_ 510(k),14750243_ 16166438_ 11070153_ 12047146,RetObs,amplified HER2 indicates a candidate for trastuzumab or pertuzumab treatment_ clinical test use prognosis for patients with stage II node + disease,3062316_ 644241_ 5484725_ 208908_ 50067185 (SID)_ 178103510 (SID),gene transcribing for RTK that is found to be overexpressed or mutated in breast cancer
Erbb2,P04626,Breast Cancer,DakoCytomation Her2 FISH pharmDx™ Kit,Dako Denmark A/S,P040005,N,227,amplification,Erb-b2 Receptor Tyrosine Kinase 2 Gene_ ERBB2_ ERBB2 gene_ HER2_ HER2/Neu_ Neu,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis_ prediction_ companion diagnosis,predictive,Paraffin block,F,1,clinical use,,PMA,21685042,RetObs,amplified HER2 indicates a candidate for trastuzumab or pertuzumab treatment,3062316_ 644241_ 5484725_ 208908_ 50067185 (SID)_ 178103510 (SID),From FDA A DIRECT FLUORESCENCE IN SITU  HYBRIDIZATION (FISH) ASSAY DESIGNED TO QUANTITATIVELY DETERMINE THE HER2 GENE AMPLIFICATION IN FORMALIN-FIXED_ PARAFFIN-EMBEDDED BREAST CANCER TISSUE SPECIMENS. Her2/Neu is a gene transcribing for RTK that is found to be overexpressed or mutated in breast cancer
ESM1,Q9NQ30,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062697,Y,191,multigene prediction,Endothelial Cell-Specific Molecule 1 Gene_ ESM1_ ESM1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
ESR1,P03372,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,ER_ ESR1_ ESR1 Gene_ Estrogen Receptor 1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
EXO1,Q9UQ84,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,EXO1_ EXO1 Gene_ Exonuclease 1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
EXT1,Q16394,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062709,Y,-,multigene prediction,Exostoses (Multiple) 1 Gene_ EXT1_ EXT1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
FGF18,O76093,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062699,Y,-,multigene prediction,FGF18_ FGF18 Gene_ Fibroblast Growth Factor 18 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
FGFR4,P22455,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,201,multigene prediction,FGFR4_ FGFR4 Gene_ Fibroblast Growth Factor Receptor 4 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
FLT1,P17948,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062703,Y,1035,multigene prediction,FLT1_ FLT1 Gene_ FMS Related Tyrosine Kinase 1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
FOXA1,P55317,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Forkhead Box A1 Gene_ FOXA1_ FOXA1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
FOXC1,Q12948,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Forkhead Box C1 Gene_ FOXC1_ FOXC1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
GMPS,P49915,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062742,Y,-,multigene prediction,GMPS_ GMPS Gene_ Guanine Monphosphate Synthetase Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
GNAZ,P19086,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062710,Y,-,multigene prediction,G Protein Subunit Alpha Z Gene_ GNAZ_ GNAZ Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
GPR160,Q9UJ42,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,G Protein-Coupled Receptor 160 Gene_ GPR160_ GPR160 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
GPR180,Q86V85,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062731,Y,-,multigene prediction,G Protein-Coupled Receptor 180 Gene_ GPR180_ GPR180 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
GRB7,Q14451,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,GRB7_ GRB7 Gene_ Growth Factor Receptor Bound Protein 7 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
GSTM3,P21266,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062743,Y,439,multigene prediction,Glutathione S-Transferase Mu 3 (Brain) Gene_ GSTM3_ GSTM3 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
HRASLS,Q9NWW9,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062704,Y,-,multigene prediction,HRASLS_ Phospholipase A and Acyltransferase 1 Gene_ PLAAT1_ PLAAT1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
IGFBP5,P24593,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062698,Y,-,multigene prediction,IGFBP5_ IGFBP5 Gene_ Insulin-Like Growth Factor Binding Protein 5 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
KIF2C,Q99661,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,KIF2C_ KIF2C Gene_ Kinesin Family Member 2C Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
KRT14,P02533,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Keratin 14 Gene_ KRT14_ KRT14 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
KRT17,Q04695,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Keratin 17 Gene_ KRT17_ KRT17 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
Krt19,P08727,Breast Cancer,GeneSearch Breast Lymph Node (BLN) Test Kit,Veridex_ LLC.,P060017 S001-S004,Y,226,amplification,SCGB2A2_ Secretoglobin Family 2A Member 2 Gene_ Keratin 19 type-1 gene_ Krt19,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),diagnosis,diagnostic_ prognostic,Fresh Tissue,R,2,clinical use,NCT00869674,PMA,20557308_ 23322090,Pro,Overexpressed Mammaglobulin and Cytokeratin 19 are specific to breast tissue_ found in nodal tissue is indicative of metastasis_ clinical test use rapid detection of nodal metastases >0.2mm intraoperatively and treatment decision to excise additional lymph nodes,NA,From EDRN SCGB2A1 encodes a small secreted protein from the secretoglobin family_ part of the uterglobin superfamily.  SCGB2A1 is normally expressed in the thymus_ trachea_
KRT5,P13647,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Keratin 5 Gene_ KRT5_ KRT5 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
LIN9,Q5TKA1,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062718,Y,-,multigene prediction,Lin-9 DREAM MuvB Core Complex Component Gene_ LIN9_ LIN9 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
MAPT,P10636,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,MAPT_ MAPT Gene_ Microtubule-Associated Protein Tau Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
MDM2,Q00987,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,MDM2_ MDM2 Gene_ MDM2 Proto-Oncogene Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
MELK,Q14680,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Maternal Embryonic Leucine Zipper Kinase Gene_ MELK_ MELK Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
MELK,Q14680,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062708,Y,-,multigene prediction,Maternal Embryonic Leucine Zipper Kinase Gene_ MELK_ MELK Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
MIA,Q96PC5,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Melanoma Inhibitory Activity Gene_ MIA_ MIA Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
MKI67,Q9BYG3,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Antigen Identified by Monoclonal Antibody Ki-67 Gene_ MKI67_ MKI67 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
MLPH,Q9BV36,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Melanophilin Gene_ MLPH_ MLPH Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
MMP9,P14780,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062732,Y,29,multigene prediction,Matrix Metalloproteinase 9 (Gelatinase B_ 92kDa Gelatinase_ 92kDa type IV Collagenase) Gene_ MMP9_ MMP9 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
MS4A7,Q9GZW8,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062765,Y,-,multigene prediction,Membrane Spanning 4-Domains A7 Gene_ MS4A7_ MS4A7 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
MTDH,Q86UE4,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062712,Y,-,multigene prediction,Metadherin Gene_ MTDH_ MTDH Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
MYBL2,P10244,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,MYBL2_ MYBL2 Gene_ v-MYB Myeloblastosis Viral Oncogene Homolog (Avian)-Like 2 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
MYC,P01106,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,466,multigene prediction,MYC_ MYC Gene_ v-myc Avian Myelocytomatosis Viral Oncogene Cellular Homolog Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
